k,zonas,rutas_cw,viajes_estimados_capacidad,viajes_baja_carga,pct_viajes_baja_carga,carga_min_t,carga_prom_t,cv_carga,distancia_km,tiempo_h,kg_por_km,mejora_2opt_km,mejora_2opt_m,distancia_km_rel,tiempo_h_rel,viajes_estimados_capacidad_rel,score_k
5,5,13,13,2,0.15384615384615385,4.48708,9.230769230769228,0.22092580191595626,393.8552676479169,24.998920381000936,304.68044953831327,0.6913408181128234,691.3408181128234,1.0,1.0,1.0,0.6259387340377496
10,10,14,14,3,0.21428571428571427,5.178899999999999,8.571428571428571,0.20182646671116036,424.4126488381116,26.24933384649033,282.74369373419154,0.6286300187057786,628.6300187057786,1.0775853053145177,1.0500186986650712,1.0769230769230769,0.6849654582508679
6,6,14,14,4,0.2857142857142857,1.4400199999999999,8.57142857142857,0.3758147316979028,415.34637536776694,25.760026599828738,288.91548624625995,0.3080343870620309,308.0343870620309,1.0545660030096686,1.0304455635374654,1.0769230769230769,0.7196521456605695
7,7,14,14,4,0.2857142857142857,0.01866,8.57142857142857,0.41411347046324287,419.25941659469095,25.765482302419255,286.21897386268404,0.27945518060846736,279.45518060846734,1.0645012293436782,1.0306638010656213,1.0769230769230769,0.7259876498734213
8,8,15,15,7,0.4666666666666667,4.144299999999999,7.999999999999998,0.290579673506252,444.4268766196684,26.727786928188383,270.01067287542463,0.7569524307318451,756.9524307318452,1.128401504628242,1.0691576484439456,1.1538461538461537,0.8121766724546443
9,9,16,16,8,0.5,2.6884300000000003,7.499999999999998,0.3472008826908902,471.4979831173348,27.46978385941971,254.50798157526233,0.9828182348552891,982.8182348552891,1.1971351454383132,1.0988388074669264,1.2307692307692308,0.8650416015292062
