id_nodo,cluster_id,demanda_kg,densidad_pob_km2,pob_buffer
525278489,1,76.66,7169.78515625,5622.094702344898
525278491,0,302.83,6986.05029296875,5478.021375323499
525278496,0,505.06,7072.736328125,5545.995113503701
525278500,3,327.59,7072.736328125,5545.995113503701
525399588,0,48.23,7150.68994140625,5607.121435521191
525399590,0,159.97,7150.68994140625,5607.121435521191
525399591,0,422.06,7072.736328125,5545.995113503701
525399592,0,282.54,7072.736328125,5545.995113503701
525399595,0,371.21,7072.736328125,5545.995113503701
525399597,0,229.57,7072.736328125,5545.995113503701
525399599,1,6.15,7189.40576171875,5637.479947461553
525411502,0,132.56,7150.68994140625,5607.121435521191
525411504,0,5.96,7150.68994140625,5607.121435521191
525411505,0,54.87,7150.68994140625,5607.121435521191
525411506,0,90.61,7150.68994140625,5607.121435521191
525411507,0,42.62,7111.713134765625,5576.558274512447
525411508,0,93.14,7150.68994140625,5607.121435521191
525411509,0,132.8,7072.736328125,5545.995113503701
525411510,0,238.42,7072.736328125,5545.995113503701
525411511,0,246.63,7072.736328125,5545.995113503701
525411512,0,129.69,7072.736328125,5545.995113503701
525411513,0,199.45,7072.736328125,5545.995113503701
525411517,0,136.31,7072.736328125,5545.995113503701
525411519,0,121.49,7072.736328125,5545.995113503701
525411520,0,133.42,7072.736328125,5545.995113503701
525411521,0,70.93,7072.736328125,5545.995113503701
525411522,1,56.39,7189.40576171875,5637.479947461553
525512708,0,712.94,7177.40673828125,5628.071067748821
525512726,0,5.92,7150.68994140625,5607.121435521191
525512735,0,72.73,7150.68994140625,5607.121435521191
525512738,0,6.45,7150.68994140625,5607.121435521191
525512740,0,120.73,7150.68994140625,5607.121435521191
525512749,0,5.98,7150.68994140625,5607.121435521191
525512753,0,6.19,7150.68994140625,5607.121435521191
525512755,0,64.99,7150.68994140625,5607.121435521191
525512757,0,380.39,7177.40673828125,5628.071067748821
525512759,0,334.14,7150.68994140625,5607.121435521191
525512761,0,178.08,7150.68994140625,5607.121435521191
525512763,0,6.04,7150.68994140625,5607.121435521191
525512764,0,114.11,7111.713134765625,5576.558274512447
525512765,0,61.16,7150.68994140625,5607.121435521191
525512766,0,157.0,7150.68994140625,5607.121435521191
525512767,0,25.12,7150.68994140625,5607.121435521191
525512772,0,55.98,7150.68994140625,5607.121435521191
525512788,3,166.43,7188.93310546875,5637.1093201496815
525512790,3,76.87,6986.05029296875,5478.021375323499
525512804,1,30.43,7169.78515625,5622.094702344898
525512806,1,6.0,7169.78515625,5622.094702344898
525696801,0,5.91,7150.68994140625,5607.121435521191
525696805,0,6.25,7150.68994140625,5607.121435521191
525696807,0,6.31,7150.68994140625,5607.121435521191
525697013,1,5.9,7203.9296875,5648.86869683305
525697016,1,6.21,7203.9296875,5648.86869683305
525697021,1,48.23,7169.78515625,5622.094702344898
525697025,1,194.92,7169.78515625,5622.094702344898
525697028,1,107.93,7169.78515625,5622.094702344898
525697034,3,208.43,7072.736328125,5545.995113503701
525697040,3,251.23,7072.736328125,5545.995113503701
525697054,0,116.43,7072.736328125,5545.995113503701
525697057,0,137.38,7072.736328125,5545.995113503701
525697060,0,91.49,7072.736328125,5545.995113503701
525697065,0,23.83,7131.071044921875,5591.737530482627
525697068,1,6.46,7189.40576171875,5637.479947461553
525697072,1,109.34,7189.40576171875,5637.479947461553
525697075,1,24.19,7189.40576171875,5637.479947461553
525697079,1,44.08,7189.40576171875,5637.479947461553
525697081,1,217.41,7189.40576171875,5637.479947461553
525697084,0,6.23,7072.736328125,5545.995113503701
525697090,1,6.22,7189.40576171875,5637.479947461553
525697100,1,72.45,7169.78515625,5622.094702344898
525697102,1,23.78,7169.78515625,5622.094702344898
559365991,0,77.33,7150.68994140625,5607.121435521191
577537809,1,58.01,7169.78515625,5622.094702344898
577537810,1,94.2,7169.78515625,5622.094702344898
612565107,0,170.75,7072.736328125,5545.995113503701
612565112,0,152.61,7072.736328125,5545.995113503701
616221042,0,6.34,7072.736328125,5545.995113503701
616250838,0,38.66,7072.736328125,5545.995113503701
616250841,0,6.44,7072.736328125,5545.995113503701
617183244,3,649.87,6986.05029296875,5478.021375323499
620017931,1,25.14,7169.78515625,5622.094702344898
620017933,1,71.28,7169.78515625,5622.094702344898
620017934,1,5.99,7169.78515625,5622.094702344898
620017935,1,6.44,7169.78515625,5622.094702344898
620017937,1,6.26,7169.78515625,5622.094702344898
620017954,1,53.04,7169.78515625,5622.094702344898
624624730,3,59.51,6986.05029296875,5478.021375323499
624641447,1,56.69,7189.40576171875,5637.479947461553
742549600,1,23.56,7189.40576171875,5637.479947461553
742549603,1,53.89,7189.40576171875,5637.479947461553
742549604,1,6.23,7189.40576171875,5637.479947461553
742549617,1,56.85,7169.78515625,5622.094702344898
742549621,1,6.29,7169.78515625,5622.094702344898
742549627,1,6.03,7169.78515625,5622.094702344898
742549633,1,25.32,7169.78515625,5622.094702344898
742549635,1,24.14,7169.78515625,5622.094702344898
742549636,1,6.09,7169.78515625,5622.094702344898
742549696,1,82.56,7169.78515625,5622.094702344898
742549697,1,25.16,7179.595458984375,5629.787324903225
742549698,1,6.41,7189.40576171875,5637.479947461553
742549700,1,25.18,7189.40576171875,5637.479947461553
742549720,1,74.88,7189.40576171875,5637.479947461553
742549722,1,5.95,7189.40576171875,5637.479947461553
2190601967,3,727.78,6986.05029296875,5478.021375323499
2496228891,3,169.46,6986.05029296875,5478.021375323499
2496228894,3,72.47,6986.05029296875,5478.021375323499
2496228905,0,662.08,6986.05029296875,5478.021375323499
2496228911,0,570.23,6986.05029296875,5478.021375323499
2496347198,3,309.16,6986.05029296875,5478.021375323499
2496347200,0,56.51,7150.68994140625,5607.121435521191
2496347202,0,6.38,7150.68994140625,5607.121435521191
2895686593,0,74.39,7072.736328125,5545.995113503701
2895686594,0,6.25,7072.736328125,5545.995113503701
3073574611,0,55.74,7072.736328125,5545.995113503701
3084719539,1,6.01,7189.40576171875,5637.479947461553
3098142036,0,38.01,7072.736328125,5545.995113503701
3098142045,0,6.06,7072.736328125,5545.995113503701
3110357422,0,23.61,7150.68994140625,5607.121435521191
3110357423,0,6.29,7150.68994140625,5607.121435521191
3170817405,0,107.96,7072.736328125,5545.995113503701
3336509706,0,200.59,7072.736328125,5545.995113503701
3445696063,0,58.31,7072.736328125,5545.995113503701
3445696065,0,200.1,7072.736328125,5545.995113503701
3451102567,0,6.12,7072.736328125,5545.995113503701
3461594219,3,406.93,6986.05029296875,5478.021375323499
3572060043,1,58.17,7169.78515625,5622.094702344898
3572060044,1,6.15,7169.78515625,5622.094702344898
3753542827,1,6.49,7189.40576171875,5637.479947461553
3781460084,0,45.4,7072.736328125,5545.995113503701
3781460085,0,6.42,7072.736328125,5545.995113503701
3781517557,0,6.07,7131.071044921875,5591.737530482627
3966619155,1,42.89,7169.78515625,5622.094702344898
3988166727,3,89.82,6986.05029296875,5478.021375323499
4003134217,1,6.08,7169.78515625,5622.094702344898
4003134248,1,5.99,7186.857421875,5635.481699588974
4003134249,1,6.23,7186.857421875,5635.481699588974
4003134273,1,45.28,7169.78515625,5622.094702344898
4003134274,1,107.43,7169.78515625,5622.094702344898
4003141529,1,56.17,7189.40576171875,5637.479947461553
4003141531,1,5.95,7189.40576171875,5637.479947461553
4011563094,0,150.46,7150.68994140625,5607.121435521191
4020168894,0,45.51,7072.736328125,5545.995113503701
4022907701,0,23.9,7072.736328125,5545.995113503701
4033213144,3,565.03,6986.05029296875,5478.021375323499
4049225332,1,6.43,7189.40576171875,5637.479947461553
4049225333,1,6.35,7189.40576171875,5637.479947461553
4049225334,1,6.32,7189.40576171875,5637.479947461553
4049225344,1,6.32,7189.40576171875,5637.479947461553
4051730621,0,6.11,7150.68994140625,5607.121435521191
4051730625,0,42.49,7150.68994140625,5607.121435521191
4051730626,0,6.39,7150.68994140625,5607.121435521191
4051730627,0,6.39,7150.68994140625,5607.121435521191
4084415081,0,1195.11,7177.40673828125,5628.071067748821
4124455866,0,6.45,7150.68994140625,5607.121435521191
4124455868,0,6.2,7150.68994140625,5607.121435521191
4124455869,0,6.2,7150.68994140625,5607.121435521191
4124455871,0,6.38,7150.68994140625,5607.121435521191
4174768674,0,6.29,7072.736328125,5545.995113503701
4183242491,0,189.69,7072.736328125,5545.995113503701
4242007346,1,6.38,7189.40576171875,5637.479947461553
4242007347,1,32.2,7189.40576171875,5637.479947461553
4242007348,1,6.1,7189.40576171875,5637.479947461553
4844653360,0,422.33,7072.736328125,5545.995113503701
4844917867,0,41.62,7072.736328125,5545.995113503701
4962835014,0,6.25,7072.736328125,5545.995113503701
4962835015,0,124.11,7072.736328125,5545.995113503701
5175456521,1,6.18,7169.78515625,5622.094702344898
5175456529,1,6.22,7169.78515625,5622.094702344898
5214556597,0,36.39,7072.736328125,5545.995113503701
5253099466,0,6.25,7150.68994140625,5607.121435521191
5253099467,0,70.88,7150.68994140625,5607.121435521191
5348030687,3,597.02,6986.05029296875,5478.021375323499
5348106268,0,6.4,7131.071044921875,5591.737530482627
5348106277,0,73.33,7131.071044921875,5591.737530482627
5348106279,0,23.87,7131.071044921875,5591.737530482627
5809351465,1,31.06,7169.78515625,5622.094702344898
5809351471,1,38.19,7169.78515625,5622.094702344898
6695080690,3,264.95,6986.05029296875,5478.021375323499
9183728404,3,370.16,6986.05029296875,5478.021375323499
9440954555,0,53.47,7072.736328125,5545.995113503701
9440984874,1,41.44,7189.40576171875,5637.479947461553
9440992897,0,261.12,7072.736328125,5545.995113503701
9896431598,3,379.6,6986.05029296875,5478.021375323499
9896431604,3,207.34,6986.05029296875,5478.021375323499
12251459302,3,145.77,7188.93310546875,5637.1093201496815
12334502238,1,84.41,7188.93310546875,5637.1093201496815
12334514043,3,415.93,7188.93310546875,5637.1093201496815
