camion,vehiculo,viajes_asignados,tiempo_ruta_h,tiempo_productivo_h,tiempo_ruta_min,carga_total_kg,paradas_total,dist_total_km,tiempo_viajes_min,kg_por_km_prom,kg_por_h_prom,util_carga_prom,uso_jornada_pct,holgura_min,galones_estimados,costo_diesel_usd,costo_laboral_usd,costo_operativo_usd,costo_nomina_mensual_usd
1,1,4,7.279604,7.279604,436.776214,43377.91,203,144.739043,436.776214,299.697366,5958.828603,90.370646,90.995045,43.223786,32.164232,96.171053,127.211072,223.382126,2796.0
2,2,3,5.721193,5.721193,343.271554,24855.62,202,112.091998,343.271554,221.743037,4344.482325,69.043389,71.514907,136.728446,24.909333,74.478905,99.97784,174.456745,2796.0
3,3,3,5.908242,5.908242,354.494516,28541.04,208,106.311733,354.494516,268.46557,4830.716196,79.280667,73.853024,125.505484,23.62483,70.63824,103.246528,173.884768,2796.0
4,4,1,2.990939,2.990939,179.456325,9219.7,130,40.963889,179.456325,225.068962,3082.5439,76.830833,37.386734,300.543675,9.103086,27.218229,52.266655,79.484883,2796.0
5,5,2,5.016555,5.016555,300.99329,14005.73,201,85.629169,300.99329,163.562606,2791.902108,58.357208,62.706935,179.00671,19.028704,56.895825,87.664296,144.560121,2796.0
