camion,vehiculo,viajes_asignados,tiempo_ruta_h,tiempo_productivo_h,tiempo_ruta_min,carga_total_kg,paradas_total,dist_total_km,tiempo_viajes_min,kg_por_km_prom,kg_por_h_prom,util_carga_prom,uso_jornada_pct,holgura_min,galones_estimados,costo_diesel_usd,costo_laboral_usd,costo_operativo_usd,costo_nomina_mensual_usd
1,1,2,6.815719,6.815719,408.943152,23614.42,293,92.508082,408.943152,255.268724,3464.699665,98.393417,85.19649,71.056848,20.557352,61.466481,119.104693,180.571174,2796.0
2,2,1,2.403944,2.403944,144.236638,11105.75,110,30.805773,144.236638,360.508723,4619.804034,92.547917,30.049299,335.763362,6.845727,20.468725,42.008921,62.477646,2796.0
3,3,2,6.870945,6.870945,412.256699,15948.94,338,98.290913,412.256699,162.262609,2321.214921,66.453917,85.886812,67.743301,21.842425,65.308851,120.069763,185.378615,2796.0
4,4,1,4.003642,4.003642,240.218548,9330.89,203,48.118596,240.218548,193.914426,2330.600216,77.757417,50.045531,239.781452,10.693021,31.972134,69.963652,101.935786,2796.0
