camion,vehiculo,viajes_asignados,tiempo_ruta_h,tiempo_productivo_h,tiempo_ruta_min,carga_total_kg,paradas_total,dist_total_km,tiempo_viajes_min,kg_por_km_prom,kg_por_h_prom,util_carga_prom,uso_jornada_pct,holgura_min,galones_estimados,costo_diesel_usd,costo_laboral_usd,costo_operativo_usd,costo_nomina_mensual_usd
1,1,4,6.937352180302339,6.937352180302339,416.24113081814033,43377.91,203,144.7390431324864,416.2411308181404,323.92037333159544,6940.477966792509,90.37064583333333,86.71690225377924,63.75886918185966,32.164231807219196,96.17105310358541,121.23022935078339,217.4012824543688,2796.0
2,2,3,6.001085448030147,6.001085448030147,360.06512688180885,24855.62,202,112.09199765496658,360.06512688180885,219.88462925177623,4276.359251577382,69.04338888888888,75.01356810037684,119.93487311819118,24.909332812214796,74.47890510852224,104.86896820432683,179.34787331284906,2796.0
3,3,3,6.096573356395078,6.096573356395078,365.7944013837047,28541.04,208,106.31173282518421,365.7944013837047,279.247087811067,4964.103984552044,79.28066666666668,76.20716695493847,114.2055986162953,23.624829516707603,70.63824025495573,106.537619403004,177.17585965795973,2796.0
4,4,1,3.400715583675065,3.400715583675065,204.0429350205039,9219.7,130,40.96388918694163,204.0429350205039,225.06896154135273,2711.105875557082,76.83083333333335,42.50894479593831,275.95706497949607,9.103086485987028,27.218228593101216,59.427504824721765,86.64573341782298,2796.0
5,5,2,5.658582867792488,5.658582867792488,339.51497206754925,14005.73,201,85.62916871915846,339.5149720675493,166.10456061510345,2470.2326312432915,58.35720833333333,70.73228584740609,140.48502793245075,19.02870415981299,56.89582543784084,98.88373561467372,155.77956105251457,2796.0
